having_ip_address,url_length,shortining_service,having_at_symbol,double_slash_redirecting,prefix_suffix,having_sub_domain,sslfinal_state,domain_registration_length,favicon,port,https_token,request_url,url_of_anchor,links_in_tags,sfh,submitting_to_email,abnormal_url,redirect,on_mouseover,rightclick,popupwindow,iframe,age_of_domain,dnsrecord,web_traffic,page_rank,google_index,links_pointing_to_page,statistical_report,result,having_IP_Address,URL_Length,Shortining_Service,having_At_Symbol,Prefix_Suffix,having_Sub_Domain,SSLfinal_State,Domain_registeration_length,Favicon,HTTPS_token,Request_URL,URL_of_Anchor,Links_in_tags,SFH,Submitting_to_email,Abnormal_URL,Redirect,RightClick,popUpWidnow,Iframe,DNSRecord,Page_Rank,Google_Index,Links_pointing_to_page,Statistical_report,Result
,,,,1,,,,,,1,,,,,,,,,1,,,,-1,,-1,,,,,,-1.0,-1.0,1.0,1.0,-1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
,,,,1,,,,,,1,,,,,,,,,1,,,,1,,0,,,,,,1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,1.0
1.0,-1.0,1.0,1.0,1,-1.0,0.0,0.0,1.0,1.0,1,1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1,-1.0,-1,-1.0,1.0,1.0,1.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.0,-1.0,1.0,1.0,1,-1.0,0.0,-1.0,1.0,1.0,1,1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,-1,1.0,-1,1.0,1.0,1.0,1.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,,,,,,1,,,,,,,,,1,,,,1,,1,,,,,,-1.0,1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0
1.0,-1.0,1.0,-1.0,1,-1.0,0.0,-1.0,-1.0,1.0,1,1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,0.0,1,1.0,1.0,1.0,-1,-1.0,1,-1.0,1.0,1.0,-1.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.0,-1.0,1.0,1.0,1,-1.0,0.0,-1.0,1.0,1.0,1,1.0,-1.0,0.0,-1.0,-1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,-1,1.0,0,1.0,1.0,0.0,1.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.0,-1.0,-1.0,1.0,-1,-1.0,1.0,1.0,-1.0,1.0,1,-1.0,-1.0,0.0,-1.0,-1.0,1.0,-1.0,1.0,1,1.0,1.0,1.0,1,-1.0,1,1.0,-1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,1.0,1.0,1.0,1,-1.0,0.0,0.0,-1.0,1.0,1,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1,1.0,-1,-1.0,1.0,0.0,1.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.0,1.0,1.0,1.0,1,1.0,0.0,1.0,-1.0,1.0,1,1.0,1.0,0.0,1.0,-1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1,1.0,1,-1.0,1.0,0.0,-1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,-1.0,1.0,1.0,1,-1.0,1.0,1.0,-1.0,-1.0,1,1.0,1.0,0.0,-1.0,-1.0,1.0,1.0,0.0,-1,1.0,-1.0,1.0,1,-1.0,1,-1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,-1.0,1.0,1.0,1,-1.0,-1.0,1.0,-1.0,1.0,1,1.0,1.0,0.0,-1.0,-1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,-1,1.0,0,-1.0,1.0,0.0,1.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,-1,,,,,,-1,,,,,,,,,-1,,,,-1,,1,,,,,,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0
1.0,1.0,1.0,1.0,1,-1.0,-1.0,-1.0,-1.0,1.0,1,1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,-1,-1.0,-1,-1.0,1.0,1.0,1.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,,,,,,1,,,,,,,,,1,,,,1,,1,,,,,,1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,0.0,1.0,-1.0,-1.0,1.0,0.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,1.0
1.0,-1.0,1.0,1.0,1,1.0,0.0,1.0,-1.0,1.0,1,1.0,1.0,1.0,0.0,-1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,-1,-1.0,1,-1.0,1.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,,,,,,1,,,,,,,,,-1,,,,-1,,0,,,,,,1.0,0.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,1.0,0.0,0.0,-1.0,1.0,1.0,0.0,1.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,1.0
1.0,-1.0,1.0,1.0,1,-1.0,0.0,1.0,1.0,1.0,1,1.0,-1.0,1.0,0.0,-1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1,-1.0,-1,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,,,,,,1,,,,,,,,,1,,,,-1,,0,,,,,,-1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,1.0,0.0,1.0,-1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0
1.0,-1.0,1.0,1.0,1,1.0,0.0,1.0,-1.0,1.0,1,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,-1,1.0,1,1.0,1.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,,,,,,1,,,,,,,,,1,,,,1,,1,,,,,,1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,0.0,1.0,-1.0,1.0,1.0,0.0,1.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,1.0
1.0,-1.0,1.0,1.0,1,-1.0,-1.0,-1.0,1.0,-1.0,-1,1.0,-1.0,-1.0,0.0,-1.0,-1.0,1.0,0.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1,-1.0,1.0,0.0,-1.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.0,-1.0,1.0,-1.0,1,-1.0,1.0,1.0,-1.0,1.0,1,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1,1.0,1.0,1.0,-1,1.0,1,-1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,-1.0,1.0,1.0,1,-1.0,-1.0,-1.0,-1.0,1.0,1,1.0,-1.0,0.0,-1.0,-1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,-1,1.0,0,-1.0,1.0,0.0,1.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,-1.0,1.0,1.0,1,-1.0,0.0,-1.0,1.0,1.0,1,1.0,1.0,0.0,-1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,-1,1.0,1,-1.0,1.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,-1,,,,,,1,,,,,,,,,-1,,,,-1,,0,,,,,,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0
,,,,1,,,,,,1,,,,,,,,,1,,,,1,,1,,,,,,1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,0.0,1.0,-1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,1.0
1.0,-1.0,1.0,1.0,1,-1.0,1.0,1.0,-1.0,1.0,1,1.0,-1.0,0.0,-1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1,1.0,-1,-1.0,1.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.0,-1.0,-1.0,1.0,-1,-1.0,0.0,0.0,1.0,-1.0,-1,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1,-1.0,-1.0,-1.0,1,-1.0,0,-1.0,1.0,1.0,-1.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,,,,,,1,,,,,,,,,1,,,,-1,,-1,,,,,,1.0,-1.0,1.0,1.0,-1.0,0.0,0.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,-1.0,1.0,0.0,1.0,-1.0
1.0,-1.0,1.0,1.0,1,-1.0,1.0,1.0,-1.0,1.0,1,1.0,-1.0,0.0,0.0,-1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1,1.0,1,-1.0,1.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,-1,,,,,,1,,,,,,,,,1,,,,1,,1,,,,,,-1.0,1.0,-1.0,1.0,-1.0,0.0,1.0,-1.0,1.0,-1.0,1.0,0.0,0.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0
1.0,1.0,1.0,1.0,1,-1.0,1.0,1.0,-1.0,-1.0,-1,1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,0.0,1,1.0,-1.0,1.0,1,-1.0,1,-1.0,1.0,1.0,-1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,-1.0,1.0,1.0,1,-1.0,1.0,1.0,-1.0,1.0,1,1.0,1.0,0.0,-1.0,-1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1,1.0,1,1.0,1.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,-1.0,-1.0,1.0,-1,-1.0,1.0,1.0,-1.0,1.0,1,-1.0,1.0,1.0,0.0,-1.0,1.0,-1.0,0.0,1,1.0,1.0,1.0,-1,-1.0,1,-1.0,-1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.0,-1.0,-1.0,1.0,-1,1.0,0.0,1.0,-1.0,1.0,1,-1.0,1.0,0.0,-1.0,-1.0,1.0,-1.0,0.0,1,1.0,1.0,1.0,-1,-1.0,1,1.0,-1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,,,,,,1,,,,,,,,,1,,,,-1,,1,,,,,,1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,0.0,1.0,1.0
-1.0,-1.0,-1.0,1.0,-1,-1.0,1.0,1.0,-1.0,1.0,1,-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,1,1.0,1.0,1.0,1,-1.0,1,-1.0,-1.0,1.0,1.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,-1.0,1.0,1.0,1,-1.0,1.0,1.0,1.0,1.0,1,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,-1,1.0,0,-1.0,1.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,-1.0,1.0,1.0,1,-1.0,-1.0,-1.0,1.0,1.0,1,1.0,-1.0,0.0,0.0,-1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1,-1.0,1,-1.0,1.0,1.0,1.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,,,,,,1,,,,,,,,,1,,,,1,,1,,,,,,1.0,-1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,-1.0,0.0,-1.0,-1.0,1.0,1.0,0.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0
-1.0,-1.0,-1.0,-1.0,1,1.0,1.0,1.0,1.0,1.0,1,1.0,-1.0,1.0,0.0,-1.0,-1.0,-1.0,0.0,1,1.0,1.0,1.0,-1,1.0,0,-1.0,1.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,1.0,1.0,1.0,1,-1.0,-1.0,1.0,-1.0,1.0,1,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1,-1.0,1,1.0,1.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,-1.0,1.0,1.0,1,-1.0,1.0,1.0,-1.0,1.0,1,1.0,1.0,0.0,-1.0,-1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,-1,1.0,0,-1.0,-1.0,0.0,1.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,,,,,,1,,,,,,,,,1,,,,-1,,0,,,,,,-1.0,-1.0,1.0,1.0,-1.0,0.0,1.0,1.0,1.0,1.0,-1.0,0.0,-1.0,-1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,-1.0,-1.0
,,,,1,,,,,,1,,,,,,,,,1,,,,1,,-1,,,,,,1.0,-1.0,1.0,1.0,-1.0,0.0,1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,-1.0,1.0,0.0,1.0,1.0
-1.0,-1.0,-1.0,1.0,-1,1.0,-1.0,1.0,-1.0,1.0,1,-1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,0.0,1,1.0,1.0,1.0,1,-1.0,1,-1.0,-1.0,0.0,-1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,,,,,,-1,,,,,,,,,-1,,,,1,,1,,,,,,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,0.0,-1.0,-1.0,-1.0,1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0
,,,,1,,,,,,1,,,,,,,,,1,,,,-1,,0,,,,,,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
1.0,-1.0,1.0,1.0,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1,1.0,1.0,-1.0,0.0,-1.0,-1.0,1.0,0.0,-1,1.0,-1.0,1.0,-1,-1.0,0,-1.0,1.0,0.0,-1.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,,,,,,1,,,,,,,,,1,,,,1,,-1,,,,,,1.0,-1.0,1.0,1.0,-1.0,0.0,0.0,1.0,1.0,1.0,-1.0,0.0,0.0,-1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,-1.0,1.0,0.0,1.0,-1.0
1.0,-1.0,1.0,1.0,1,-1.0,0.0,-1.0,-1.0,1.0,1,1.0,1.0,0.0,0.0,-1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1,1.0,1,-1.0,1.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.0,-1.0,1.0,1.0,1,-1.0,1.0,1.0,-1.0,-1.0,1,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,0.0,1,1.0,-1.0,1.0,-1,1.0,1,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,,,,,,1,,,,,,,,,1,,,,1,,1,,,,,,1.0,-1.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,0.0,0.0,-1.0,1.0,0.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0
,,,,-1,,,,,,1,,,,,,,,,1,,,,1,,-1,,,,,,-1.0,1.0,-1.0,1.0,-1.0,0.0,0.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,0.0,1.0,-1.0
1.0,-1.0,1.0,1.0,1,-1.0,0.0,1.0,-1.0,1.0,1,1.0,1.0,0.0,-1.0,-1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1,1.0,-1,-1.0,1.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,-1.0,-1.0,-1.0,1,-1.0,0.0,1.0,-1.0,1.0,1,1.0,1.0,0.0,-1.0,-1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,-1,1.0,-1,-1.0,1.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,,,,,,1,,,,,,,,,1,,,,1,,0,,,,,,-1.0,-1.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,-1.0,-1.0,0.0,1.0,-1.0
,,,,1,,,,,,1,,,,,,,,,1,,,,1,,-1,,,,,,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,0.0,1.0,-1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,-1.0,1.0,0.0,1.0,1.0
,,,,1,,,,,,-1,,,,,,,,,1,,,,-1,,1,,,,,,-1.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0
1.0,-1.0,1.0,1.0,1,-1.0,0.0,-1.0,1.0,1.0,1,1.0,-1.0,0.0,0.0,-1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,-1,1.0,1,1.0,1.0,0.0,1.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,,,,,,1,,,,,,,,,1,,,,1,,-1,,,,,,1.0,1.0,1.0,1.0,-1.0,0.0,0.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,-1.0,-1.0,0.0,1.0,-1.0
-1.0,-1.0,-1.0,1.0,-1,-1.0,0.0,1.0,1.0,1.0,1,-1.0,-1.0,0.0,0.0,-1.0,1.0,-1.0,1.0,1,1.0,1.0,1.0,-1,-1.0,1,1.0,-1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,-1.0,1.0,1.0,1,-1.0,0.0,-1.0,1.0,1.0,1,1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,-1,1.0,-1,-1.0,1.0,0.0,1.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,,,,,,1,,,,,,,,,1,,,,1,,1,,,,,,1.0,-1.0,1.0,1.0,1.0,0.0,1.0,-1.0,1.0,1.0,1.0,1.0,0.0,-1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0
1.0,-1.0,1.0,1.0,1,-1.0,0.0,-1.0,1.0,1.0,1,1.0,1.0,-1.0,0.0,-1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,-1,1.0,-1,-1.0,1.0,0.0,1.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,-1.0,1.0,1.0,1,1.0,1.0,1.0,-1.0,1.0,1,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1,1.0,-1,-1.0,1.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,,,,,,-1,,,,,,,,,-1,,,,-1,,1,,,,,,-1.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,0.0,1.0,0.0,-1.0,1.0,0.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1,-1.0,-1.0,1.0,-1.0,-1.0,-1,1.0,1.0,0.0,-1.0,1.0,-1.0,1.0,0.0,1,1.0,-1.0,1.0,-1,-1.0,1,-1.0,1.0,1.0,-1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.0,-1.0,-1.0,1.0,-1,1.0,0.0,1.0,-1.0,1.0,1,-1.0,1.0,0.0,0.0,-1.0,1.0,-1.0,1.0,1,1.0,1.0,1.0,1,-1.0,1,-1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.0,-1.0,1.0,1.0,1,-1.0,-1.0,1.0,1.0,1.0,1,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1,1.0,1,-1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,-1.0,1.0,1.0,1,1.0,0.0,1.0,-1.0,1.0,1,1.0,-1.0,0.0,-1.0,-1.0,-1.0,1.0,0.0,1,1.0,1.0,1.0,-1,1.0,0,1.0,1.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,-1.0,1.0,1.0,1,-1.0,1.0,1.0,-1.0,1.0,1,1.0,-1.0,-1.0,0.0,-1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,-1,-1.0,1,-1.0,1.0,0.0,-1.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,0.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1,1.0,-1.0,1.0,1,-1.0,0,-1.0,1.0,1.0,1.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,1.0,1.0,1.0,1,-1.0,-1.0,-1.0,-1.0,1.0,1,1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,-1,-1.0,0,-1.0,1.0,0.0,1.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,-1.0,1.0,1.0,1,1.0,-1.0,1.0,-1.0,1.0,1,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1,1.0,1,-1.0,1.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,-1.0,-1.0,1.0,-1,-1.0,-1.0,-1.0,1.0,1.0,1,1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1,-1.0,1.0,1.0,1,1.0,-1,-1.0,1.0,1.0,1.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.0,-1.0,1.0,1.0,1,1.0,-1.0,1.0,-1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1,1.0,1,-1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
